original_title,original_language,poster_path,language_name,vote_average
Иван Васильевич меняет профессию,ru,/6f7vhvnma8sbO6821ShE5ViA3r8.jpg,Russian,7.9
Летят журавли,ru,/foXYOdXEJ0rvtTDo4LLnsUnvPLB.jpg,Russian,7.9
Собачье сердце,ru,/t2SSRRprMthMWngtcbLWReHUh1i.jpg,Russian,7.9
Дурак,ru,/jJOuPUrkpUDETHqfZU0hXWvuWU0.jpg,Russian,7.869
Восхождение,ru,/nbGyTnH1TREKgZXLxEJNnDVohYC.jpg,Russian,7.869
Жил-был пёс,ru,/7YbdqmDM9h2VmkelGYDKLYbuC5y.jpg,Russian,7.9
Джентльмены удачи,ru,/y774eGlSVZ6F82CoiDtlpM2Eskm.jpg,Russian,7.8
Бриллиантовая рука,ru,/iwVRDsZAuJmulnPKeYxhezzpr9A.jpg,Russian,7.843
Человек с киноаппаратом,ru,/vJgAdgJWX54v0oXfIvhwjlZnmgn.jpg,Russian,7.842
"Кавказская пленница, или Новые приключения Шурика",ru,/orp7Ec8fDDHXFYnAjOPWsuF0Dhe.jpg,Russian,7.84
Ностальгия,ru,/fCYSidPXp3LpDa9wlLNv0gZvjyF.jpg,Russian,7.8
Иваново детство,ru,/vmRWSLP1DE9WTta0hfzIafJ0dID.jpg,Russian,7.835
Солярис,ru,/rXPWl3hBbzivmeCEbMD3LwV2Ada.jpg,Russian,7.802
Кин-дза-дза!,ru,/xp7rAEgkoPUBWk5XZcAai8gDZT1.jpg,Russian,7.8
Крокодил Гена,ru,/kw6UmmvqYnaPIdw24WoD83Akfod.jpg,Russian,7.745
Ржев,ru,/k0dKShTvJZdqkwzJ4qqloy2nNFP.jpg,Russian,7.7
Старик и море,ru,/fvzw2rXqSObcBc1RAIWYW7CzLuj.jpg,Russian,7.648
Война и мир,ru,/tvMJ84g2lx2XusA29wvOeaanwWZ.jpg,Russian,7.6
Москва слезам не верит,ru,/m6nWRLCaKsGErs7x8rDj9XuTVEG.jpg,Russian,7.6
Лев Яшин. Вратарь моей мечты,ru,/hyHpcCdxwmMjelSuWxsFhPMUZMz.jpg,Russian,7.631
Мира,ru,/mv2DFhsaLeNgFzNe2G5CJhzbrkt.jpg,Russian,7.621
Броненосец Потёмкин,ru,/hZmsRLsCnE9Zshf1YJONUpCOhds.jpg,Russian,7.618
Любовь и голуби,ru,/njP3HZQpCyI9vDyVAHjYqMKdYNC.jpg,Russian,7.6
Берегись автомобиля,ru,/pxf7dGhwpwxe8b1itqxkkjFQac8.jpg,Russian,7.6
Серебряные коньки,ru,/gZSlt41YjSTQE7ah03usHsvmWFs.jpg,Russian,7.6
Мимино,ru,/ry3IE86Ibo9R0AjEXs37JrweI9I.jpg,Russian,7.6
Операция «Ы» и другие приключения Шурика,ru,/di0OpDXkIj53Fv2wy6f5As8AbNA.jpg,Russian,7.598
Брат,ru,/dxeVQdd227B367xQxvabkYTfz0b.jpg,Russian,7.6
12 стульев,ru,/fVzfgLPgrEOti2svUqwyLCtIeML.jpg,Russian,7.585
Время патриотов,ru,/A4QM6oF4UNNhQh1f9pRdXvyKW5s.jpg,Russian,7.547
А,ru,/5uyRjHB009JJTwgbhOpB5cuS8hK.jpg,Russian,7.558
Девчата,ru,/zAmv4i2sARwa17npj8rJD4OA4md.jpg,Russian,7.6
Самогонщики,ru,/fZi6LHEs2BmuthHs5IyWYWj2DA5.jpg,Russian,7.5
Винни-Пух и день забот,ru,/zOnnIpNwDMxGSScB0MjLi2GeMoQ.jpg,Russian,7.5
Балканский рубеж,ru,/okiB4NUriKKbGjAtVSzveicPTtu.jpg,Russian,7.479
Курьер,ru,/xo49kkG6AkIOEckL1hvieUx1eCH.jpg,Russian,7.5
Лето,ru,/4rOkRmIhoPoyKUa5kDrIPizcglk.jpg,Russian,7.442
Винни-Пух идёт в гости,ru,/dHXgv9GGgmoaWN6VAfLICvS6c2C.jpg,Russian,7.4
Ёжик в тумане,ru,/jY0U4PJZjvXI1ZhTMtvX0AjRAZn.jpg,Russian,7.4
Калашников,ru,/ApfjrFsGunqLo5MKYGtFMTSTaMq.jpg,Russian,7.409
Финник,ru,/gmZGAbI42ecAoixyvZI0Se4Qiau.jpg,Russian,7.4
Левиафан,ru,/dwmHSBBiu2ow271zrQ33rPKZDSC.jpg,Russian,7.398
Стачка,ru,/mrDTaMxQKxWZ3uEs2G58vJWJDDL.jpg,Russian,7.4
Тайна третьей планеты,ru,/c34bVzr6akMEJ7j2yrzRfgPJlVO.jpg,Russian,7.4
Трое из Простоквашино,ru,/f33HWWYh57G7GSbqUmJpJOJQg8a.jpg,Russian,7.4
Сказка сказок,ru,/lxikoDWKr9LeQsbHUbNzm8kgElm.jpg,Russian,7.37
"Ирония судьбы, или С легким паром!",ru,/zlkG0yVVamCyBnLLbD2zOaHMJEz.jpg,Russian,7.4
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей. Часть 1,ru,/5W1OR1Tv7JAbphYNYrUgWvkL24I.jpg,Russian,7.4
Иван Грозный. Сказ второй: Боярский заговор,ru,/9VufNqHN0EIkZAsJIv5vDYIitPo.jpg,Russian,7.3
Нелюбовь,ru,/oBUsLGZoGuLKMuHj19mjG9iCDoq.jpg,Russian,7.332
Иван Грозный,ru,/rzFWfdq6CXLCnlfXTTZs9W9dMR2.jpg,Russian,7.331
Винни-Пух,ru,/jSzuXChK281KUVFAZApTDJshHrZ.jpg,Russian,7.3
Битва за Севастополь,ru,/cURuQIcuJ5U8ToPJByqytaIpL7U.jpg,Russian,7.315
Невероятные приключения итальянцев в России,ru,/51iIpaPeoVj8yCo92GpWzUnPIiM.jpg,Russian,7.304
Русский ковчег,ru,/ceEMxpXrbWo823I3KZlS5t54Nwo.jpg,Russian,7.28
Возвращение,ru,/7V8iHBs34cPYw7ohpLqliF9x8Gv.jpg,Russian,7.277
Дорогие товарищи!,ru,/ds7T5PEplJQeKzpLWbIvW9xpHX1.jpg,Russian,7.3
О чём говорят мужчины,ru,/kprgQJtu9I5ZWaDHeTTufDIGgaa.jpg,Russian,7.3
Белое солнце пустыни,ru,/4QTcytLWn5syM2N1U1DJDkEGPj4.jpg,Russian,7.3
Брестская крепость,ru,/v99jG4CkBaLGrE4cCMLtc7e5zPZ.jpg,Russian,7.2
Брат 2,ru,/r5pffTC8XZsrGUYSU8e23dGmGNK.jpg,Russian,7.241
Елена,ru,/pdSxysKTeE6oTYhtVBF08Nwj2Ir.jpg,Russian,7.237
Он - дракон,ru,/9R9mwkXs0W78WMzh4M1yFP7v7RP.jpg,Russian,7.227
Ворошиловский стрелок,ru,/mDUPockuLcjeh6Sn4wNRt4ZYDRe.jpg,Russian,7.2
Изгнание,ru,/hD5Dg3VztZbvk2aqQsHh1e5jUP4.jpg,Russian,7.199
Т-34,ru,/wMO5XGq2ybhL3CdCEPJ8OXWbNZG.jpg,Russian,7.2
День выборов,ru,/mqWVEMgT7Ku1ks6kkOOgTkRqURU.jpg,Russian,7.164
Сибирский цирюльник,ru,/6sAm5HWkhjWo7xI0nZjeJTru6mP.jpg,Russian,7.1
Движение вверх,ru,/fIDGJ3fxbwhmqSQ1qbBVWKdQrvy.jpg,Russian,7.144
Неотправленное письмо,ru,/5jtn00Lv0YjVvyQEj29o4UkRs1w.jpg,Russian,7.1
...А зори здесь тихие,ru,/4jHGzFAjTdKeYgQLPI9bt2jMT35.jpg,Russian,7.1
Дылда,ru,/nKVrJm1dOwALdr2KHxNFhkbTSZc.jpg,Russian,7.092
Салют-7,ru,/s2ktgF2ze4aVt9bXBUvxFJllqyd.jpg,Russian,7.1
Александр Невский,ru,/lsTJYStIsnddwioD1L4FEmwj4Cx.jpg,Russian,7.1
Кукушка,ru,/g0bVxxdeAkDwzLoJq7o8ehQZWa6.jpg,Russian,7.1
Утомлённые солнцем,ru,/jcpvnPSuRrynrgY7menuyZe7X4r.jpg,Russian,7.1
Лёд,ru,/sySCOn2MBNcOy5w4iYYpYgWTcA6.jpg,Russian,7.1
Аритмия,ru,/7Q8XU8BpCKltJXoSV22HwG4JzF6.jpg,Russian,7.046
Время первых,ru,/hDNVRmrprxI9NQ0zc2Uu03p65Fw.jpg,Russian,7.0
Пиковая дама: Зазеркалье,ru,/drZ7hFMRXKYWTGd8dw9syuZeIO8.jpg,Russian,7.0
Каток и скрипка,ru,/rQILTYttUhFTy715d41SG50Xpfi.jpg,Russian,7.0
"Ганзель, Гретель и Агентство Магии",ru,/4ZSzEDVdxWVMVO4oZDvoodQOEfr.jpg,Russian,7.0
Месть кинематографического оператора,ru,/eJ8IQrSWc8wNWSySa3WoMs6np2Z.jpg,Russian,7.0
Малыш и Карлсон,ru,/H4WHAm4yHcTUMvPgupZ5OcV4nc.jpg,Russian,6.985
Холоп,ru,/m98QuZX72UaMfqcQPHvGF0ZTC2R.jpg,Russian,7.0
Груз 200,ru,/8F0vN9BNabjIO6edSlFe3RB7dCy.jpg,Russian,7.0
Экипаж,ru,/nL1WhzLiD2nZ7ixQcp5K0z4eEB7.jpg,Russian,6.938
Остров,ru,/wSDxhbDj95lsE25myWgJuWYCyzI.jpg,Russian,6.9
Октябрь,ru,/tsfz9Ak1slSnxr6mSmRD3Wj7YZS.jpg,Russian,6.9
Las tres muertes de Marisela Escobedo,es,/4E7nNHIchHWzpETfwAERxFuviO6.jpg,Spanish,8.8
Macario,es,/xX9JGtsnXQAR7e1fWkr7zBuQUHN.jpg,Spanish,8.7
Franco Escamilla: por la anécdota,es,/iT5LzAICUgviiSY0d5461MKNSOc.jpg,Spanish,8.658
Chivas: La película,es,/go1s43XbczYq84vVwZGCg0IGKKW.jpg,Spanish,8.6
Rubius X,es,/k6KAAVebtdVb0FRU2PWqYLnhgRA.jpg,Spanish,8.6
Franco Escamilla: bienvenido al mundo,es,/h7rzOEh1gvGRIjehKnOHcMV0YQ3.jpg,Spanish,8.425
Cosas imposibles,es,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,Spanish,8.414
Cuando sea joven,es,/9hPa1NDUZCjGBDt0nvg4hnWis7W.jpg,Spanish,8.4
Contraataque,es,/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,Spanish,8.398
Me vuelves loca,es,/pQeyfqLEDdY6x4P4Fl5r6jcstN4.jpg,Spanish,8.4
La Leyenda de los Chaneques,es,/4f9ghI3utknpeBZSAzNuIKKATOA.jpg,Spanish,8.376
Radical,es,/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,Spanish,8.4
¡Qué Despadre!,es,/aZ9qQ3X8xutsWIusMFGKlvkKiyD.jpg,Spanish,8.32
Nada que ver,es,/brpncE7IUmXFhZ6kELmyChvHKel.jpg,Spanish,8.292
Dedicada A Mi Ex,es,/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,Spanish,8.292
Dos tipos de cuidado,es,/8ZmVfyOqh0HzCCM9FDtPu4k1Ge.jpg,Spanish,8.3
La delgada línea amarilla,es,/bjcegq38wYxrQuCCmZWHfUfdem.jpg,Spanish,8.3
Las Leyendas: El Origen,es,/fR49hZdFJ6ZtRS23JW79VYmZgI7.jpg,Spanish,8.251
Como caído del cielo,es,/xg6QZdlHrq2dtSK8cfnQQMnmpeY.jpg,Spanish,8.232
Los Tres Huastecos,es,/bBghRRUSqpus4mPRPLwOCKRqIQg.jpg,Spanish,8.2
Voces inocentes,es,/hvwB4LdMCLzqXsk5ZjR77vzPkGk.jpg,Spanish,8.2
Nise: O Coração da Loucura,es,/eDEu2l4xvmhVuLerpHzzz2i1lgm.jpg,Spanish,8.152
Rojo amanecer,es,/vqO1yWqMubrQu4wkpHUETUo0mHy.jpg,Spanish,8.1
La leyenda del Charro Negro,es,/fDLJ5vIeRL68cIHlob11w2pBzH0.jpg,Spanish,8.1
El último vagón,es,/8Tf7bBXpLQjgFI0a5KJ1eHrxHTw.jpg,Spanish,8.1
Contratiempo,es,/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg,Spanish,8.1
Ya veremos,es,/oes1yH6zMciLP2BXseLWWNuV3FY.jpg,Spanish,8.1
Cinco de mayo: la batalla,es,/7MAtraeiaKnTrbtzUBbc9SHkdct.jpg,Spanish,8.1
Talento de Barrio,es,/5LIlCFEQnlCWpsd1HYmvhY5JHpq.jpg,Spanish,8.1
Los olvidados,es,/cDCvmYoyqFg4CuSMtGMvCpfOIEw.jpg,Spanish,8.1
Los 33 de San José,es,/nvlHmxCupDKxQuS773wCGKLVpBL.jpg,Spanish,8.043
"¡A volar, joven!",es,/qAGoxdj6TJTtTmyFf5hxFQiwFK3.jpg,Spanish,8.0
Misfit #EresOTeHaces,es,/yDwDiovi6qLcluB4EI3bJp1zOwa.jpg,Spanish,8.0
"Veinteañera, divorciada y fantástica",es,/oSbCdDI0SAAOdywGe0YVO2iDdV9.jpg,Spanish,8.018
Esperando la carroza,es,/qkSThbNiC6kimvLlWrgeTNYLCeq.jpg,Spanish,8.0
Robot Dreams,es,/ds402Qq09ybgBcXKiQNTZfzsP5o.jpg,Spanish,8.012
Cuerdas,es,/bhjhZw1h9Mp9jW2otLfByfts1Jm.jpg,Spanish,8.0
Nosotros los pobres,es,/3NKT6FNlLvk0f14voE0FJHp9nP0.jpg,Spanish,8.0
La sociedad de la nieve,es,/2e853FDVSIso600RqAMunPxiZjq.jpg,Spanish,8.002
La Leyenda de las Momias de Guanajuato,es,/j2szysGPr5F3pYZNcT83sMBLkP.jpg,Spanish,8.0
El secreto de sus ojos,es,/dkeAwfZzwL3WvToydE3CXiY80E0.jpg,Spanish,8.0
El mesero,es,/zvGC5jX5wQmU1GgPc0VGZz7Mtcs.jpg,Spanish,7.989
El padrecito,es,/fREvHyV2W1gG1HrBaAbxmXiYE2P.jpg,Spanish,7.978
La ley de Herodes,es,/653dXbr6dXffXG0oN8OfZGShFRP.jpg,Spanish,7.976
Amar te duele,es,/eyhd9wLlyDTGOKl4jmzWy5sa90o.jpg,Spanish,8.0
Arráncame la Vida,es,/iYklD0eR48grqzxal49I8XjEo8w.jpg,Spanish,8.0
La Casa de las Flores: la película,es,/nzbwTwSo8aKuvAytaPG6s0xGVE8.jpg,Spanish,8.0
Un rubio,es,/5QiRL7YWh2FDbUcT9N3q7zg6U7U.jpg,Spanish,7.9
El ángel exterminador,es,/qqZXHvBFxUpo8Pfbyvgh4SYMiWm.jpg,Spanish,7.9
Mientras el lobo no está,es,/7y2SvYTYQeCNoEEOD26wjr3Nx1N.jpg,Spanish,7.935
"No manches, Frida 2: paraíso destruido",es,/rG7rDoTe1ZEa936eonDCkV76nkx.jpg,Spanish,7.913
Ahí te encargo,es,/wpY2ZhxqsHYXjaaFUHzQ0nmIjYs.jpg,Spanish,7.891
Sueño en otro idioma,es,/tUEhleHFj47f84qd3tCrzQvLbpu.jpg,Spanish,7.891
El Infierno,es,/vry7NyLM6I0fL53H2KxCX4uAz5H.jpg,Spanish,7.888
Nosotros los nobles,es,/40JLnLz5KEQeZnUCKD3zf8sQJFx.jpg,Spanish,7.9
Ya no estoy aquí,es,/AtfK71xkVaaHTZwU5mgfDgBqg9Y.jpg,Spanish,7.883
Un rescate de huevitos,es,/7he8glf7j41d3amgf4Nbpt3HVq1.jpg,Spanish,7.9
Relatos salvajes,es,/ucFsh8uU0Lsw7zouQFaRrs2ElOs.jpg,Spanish,7.87
Hasta el viento tiene miedo,es,/je6rko1r6YG7Bi3VKe8Wq7B3mjN.jpg,Spanish,7.9
Cindy La Regia,es,/1KGbMtuySUtRggWlYPXyTWFcxLx.jpg,Spanish,7.9
Alma de héroe,es,/Am3avSjCB9y7fmqwFY8qIatPpYi.jpg,Spanish,7.9
Soy Cuba,es,/yjkqAhn3hdO7PIO1Cf9eMUAczOk.jpg,Spanish,7.9
Argentina 1985,es,/nmh7vD2eDVRqFJoCpEzVcfGcPPf.jpg,Spanish,7.851
El agente topo,es,/eWKySzO45iIbT4yL2zVkVB2w6MR.jpg,Spanish,7.843
BIA: Un Mundo al Revés,es,/eIxLHFMAsdbZGZws0duowTa4N6k.jpg,Spanish,7.8
El baile de los 41,es,/jcSqwsEtT7wKfQ8oKaaulMMGUdS.jpg,Spanish,7.834
Nadie te oye: perfume de violetas,es,/gWuhAHj0vK4UNZvJZevxobkmGDq.jpg,Spanish,7.824
Culpa mía,es,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,Spanish,7.823
Matando Cabos,es,/xhWkFmF2qjDBJByEdekySdXls0R.jpg,Spanish,7.8
Héctor el Father: Conocerás la verdad,es,/tkP0FzEivLxsUYt8BlaL8Sh7ceY.jpg,Spanish,7.8
Tod@s Caen,es,/3FldRByUqkzOPOZzsPO1PRFzbaQ.jpg,Spanish,7.8
Los santos inocentes,es,/qbUhhlZ0gSGTp4WARxt2mm8J9Ze.jpg,Spanish,7.799
La Leyenda de la Nahuala,es,/nQ94eTRXQogJTDwlbq0R8VXSNMZ.jpg,Spanish,7.8
Machuca,es,/sP3ceWIvq7DZm8VLYWuFKzbDK43.jpg,Spanish,7.8
La Leyenda de la Llorona,es,/vBiqoYfDIWKKzZTiQScqgCO09UD.jpg,Spanish,7.777
El patrullero 777,es,/yvKNyUKczXCWA9dg5IoHfOIfj2e.jpg,Spanish,7.767
Nueve reinas,es,/tabMRXUTTBmprGax6ON2r9yBN0D.jpg,Spanish,7.8
El profe,es,/AdjL0R0c1rS9tld2dx9l9ptr9wf.jpg,Spanish,7.8
El robo del siglo,es,/1zL4VCVin4S8kOXhszMDqfwWPCM.jpg,Spanish,7.8
El laberinto del fauno,es,/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg,Spanish,7.753
Azul y no tan rosa,es,/hlAtgCDpCea5s4X7JrV6TS88vsX.jpg,Spanish,7.8
En brazos de un asesino,es,/iqRUOtbDunNq7gTux3zXz25Krwp.jpg,Spanish,7.7
"Yo, adolescente",es,/tBuYNodLru48rGFbBUM8TGBIxb6.jpg,Spanish,7.7
Una película de huevos,es,/sWl9Qhv8PZyq6gviDeT88kBU3tI.jpg,Spanish,7.7
No se aceptan devoluciones,es,/4f0qaU7cWmO9kYEkr3QGdA7KNFR.jpg,Spanish,7.739
Una mujer sin filtro,es,/ayBqDoZ6Znvb9gMk2F4syPZr18f.jpg,Spanish,7.7
¿Qué culpa tiene el niño?,es,/zWp8QZ1KxNrirNK9MF1EAIHjqVw.jpg,Spanish,7.7
Tres metros sobre el cielo,es,/nNoMfNPnvEzGADXDkP6eJAP81KB.jpg,Spanish,7.723
Loca por el trabajo,es,/iPS4ju4Po7n7RIpR4yRMSw3k8oG.jpg,Spanish,7.7
El sur,es,/bAyghNTLIwHIxoQOha6kHfwmxS6.jpg,Spanish,7.7
La misma luna,es,/wx9DwdcgvLhoQJP3AOXpvMISgtM.jpg,Spanish,7.714
A la mala,es,/AinFWAtZFif4SociC1yRTqkk8WQ.jpg,Spanish,7.7
Qué León,es,/fcQUbX6nUP9XE3Z0WHCH2zFDX0x.jpg,Spanish,7.7
El analfabeto,es,/sooOWMEc2YxZmYiMfRLifHhefy4.jpg,Spanish,7.7
La vendedora de rosas,es,/rGdCYPCs8OM38qrIDzGwGzMPv9n.jpg,Spanish,7.688
El abrazo de la serpiente,es,/t3Lmw8jvm7tpik0lSkub8hU4oRW.jpg,Spanish,7.685
Huevitos Congelados,es,/8xCO3IarklLD4tK1rPn0e4gSMoV.jpg,Spanish,7.7
Guerra de Likes,es,/jpdWHOu6EJbYnLXLCA52h82nLEz.jpg,Spanish,7.7
"No manches, Frida",es,/6HfyXfIEywLa2HvcswKi44dDKxL.jpg,Spanish,7.676
Nazarín,es,/7W2hnPt4glMnaxJU33wAjKyf7lc.jpg,Spanish,7.7
Det sjunde inseglet,sv,/wcZ21zrOsy0b52AfAF50XpTiv75.jpg,Swedish,8.185
Persona,sv,/cl0HEZT8UfzLqaMrYTvGNHOfPYj.jpg,Swedish,8.164
Scener ur ett äktenskap,sv,/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg,Swedish,8.1
Smultronstället,sv,/iyTD2QnySNMPUPE3IedZQipSWfz.jpg,Swedish,8.1
Höstsonaten,sv,/6beNbtCXv3GkzHkxkGYf38ib7v8.jpg,Swedish,8.0
Viskningar och rop,sv,/a1bMgB09YDvvRN9SitCclUYragr.jpg,Swedish,7.9
Nattvardsgästerna,sv,/wDxrEssdjFWYwIZLbr06RQNcg1q.jpg,Swedish,7.9
Släpp taget,sv,/hIJRqqAaMUtQ13mZL6lCE6myhXH.jpg,Swedish,7.844
Jungfrukällan,sv,/z70YM3Y4pNYZATMhFMKonngaeMC.jpg,Swedish,7.8
Körkarlen,sv,/vmhMEj2d8JnKS5jzqJf4kYypKWN.jpg,Swedish,7.809
Såsom i en spegel,sv,/rYD30Fm4vAcBqk1kTsxHw1s8P29.jpg,Swedish,7.8
Fanny och Alexander,sv,/q8jlA3Wc1Z987hNKRFA44g5OugC.jpg,Swedish,7.77
Offret,sv,/8JMh27z075ZHbFE85XYkdXF2QkK.jpg,Swedish,7.7
Lilja 4-ever,sv,/m1xeLa00P3her902OnwL2gIHsXm.jpg,Swedish,7.6
En man som heter Ove,sv,/a41uvFqze4PI7N3E9jPNwN9ypV.jpg,Swedish,7.6
Häxan,sv,/3LtaPLlwlA5HX2FjqAb8lsaBI8P.jpg,Swedish,7.608
Skammen,sv,/cRJFOadujA7COrBV4HqB6bWcpLs.jpg,Swedish,7.5
Låt den rätte komma in,sv,/7IG4WjaAOVDlLvLUkh513HSwhW8.jpg,Swedish,7.54
Män som hatar kvinnor,sv,/j4Ra0SvYM08winX6fxn6AknlygV.jpg,Swedish,7.527
Tystnaden,sv,/2KkHAsBVZVoMO1Zauvm5rFSxp09.jpg,Swedish,7.5
En passion,sv,/cr01316AyxUZyZrdLwzz3AXrgJc.jpg,Swedish,7.5
Utvandrarna,sv,/nGnignbQFzpwR7sDUAuT1C7kZKA.jpg,Swedish,7.5
Sommarnattens leende,sv,/wKeV8lKz8k9DDBCw6MJ9MkhvhqF.jpg,Swedish,7.4
Sommarlek,sv,/3Yl2nPAzBcygds63L6yf4g7I2k8.jpg,Swedish,7.4
Vargtimmen,sv,/jSqTnEP1x1OcOglqrInYvGSF1tL.jpg,Swedish,7.421
Sameblod,sv,/vSQWzjzmZONLGDPnzWa1e7xRfr8.jpg,Swedish,7.4
Ansiktet,sv,/46DEYkr96MxzUmdwgmj2U7gWokZ.jpg,Swedish,7.4
Gycklarnas afton,sv,/o1LGjSnibRtFuoBXrttm6pueNiD.jpg,Swedish,7.332
Sommaren med Monika,sv,/82hLsn67V9TjgrLOZCFL7247pJd.jpg,Swedish,7.3
I rymden finns inga känslor,sv,/hsCfCoKvY03Q1kNiBNoM4DcxpY9.jpg,Swedish,7.3
Ondskan,sv,/a4qQlHDWshHGEbJWfCoKKlzgsh.jpg,Swedish,7.3
Saraband,sv,/8Lt35scCMOh3HhnG81Ndc6dhazA.jpg,Swedish,7.3
Ansikte mot ansikte,sv,/ulh7ILYfvSZExCXENEhySvuZLLl.jpg,Swedish,7.3
Sound of Noise,sv,/fD4WnzQH0YrvqXXon9RDTnOVPUw.jpg,Swedish,7.244
Mitt liv som hund,sv,/eVg9IsX2HtR1BNYH0UAhF4JPHi7.jpg,Swedish,7.2
Djävulens öga,sv,/njgS53DDdtsj5DXaGcEwglwq8z3.jpg,Swedish,7.2
TPB AFK: The Pirate Bay - Away from Keyboard,sv,/tTgeYhe5V7tF3gV7ZPwgsTqVDfO.jpg,Swedish,7.172
Kyss mig,sv,/rYThXhsiDKWoFcxqMSvV2jZHSws.jpg,Swedish,7.138
Så som i himmelen,sv,/ygJ6RQQSmXRQLPpUKP9SCdKXSKJ.jpg,Swedish,7.137
Sånger från andra våningen,sv,/xMZieoxiQ1hb5zraZlhzcvU7MGN.jpg,Swedish,7.1
Fucking Åmål,sv,/nqpYdu7guZf5qSPQceUl7ifrjD4.jpg,Swedish,7.108
Du levande,sv,/j4FAPvqjqUvs1YrQi76p6fIDRUB.jpg,Swedish,7.1
Unga Astrid,sv,/eEbu8tFPSyM4zt9dPJjeFj3qwlF.jpg,Swedish,7.071
En kärlekshistoria,sv,/gBeV8roXMpihTyUpIawRlZ9Cwvg.jpg,Swedish,7.057
Luftslottet som sprängdes,sv,/92byRQBuuiLcfKnBi5NOuipSgV8.jpg,Swedish,7.056
Tillsammans,sv,/fIY5xko6dJOcn0hckudIhPXobve.jpg,Swedish,7.0
Ronja Rövardotter,sv,/u94w3NUNOYa3Wk4PXfzwI4lWnM0.jpg,Swedish,7.0
Flickan som lekte med elden,sv,/g89KcTXKf3bLdfOiJqW8n6uCIhu.jpg,Swedish,6.993
Vi är bäst!,sv,/8KzhURCHxpVtpMk4oMerB4vn48b.jpg,Swedish,6.984
Pippi Långstrump på de sju haven,sv,/oyi9bkhQ5q4FwL6f3mdNcgJAyyN.jpg,Swedish,7.0
Borg vs McEnroe,sv,/9jdg8VxleYb1DhPiEfHM7DzfvGw.jpg,Swedish,6.9
Turist,sv,/41agNfzepz2DTdgTBX1fX0QclHp.jpg,Swedish,6.866
